CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
4.43845,0.0,11.98,0,0.521,5.338,40.9,8.9192,4,270.0,15.2,369.0,6.06,35.9
0.66462,80.0,24.68,0,0.768,5.707,25.6,6.4619,6,384.0,18.7,49.74,24.28,32.1
0.01661,0.0,26.48,0,0.663,5.947,24.2,5.3766,4,403.0,13.0,259.08,35.59,30.5
5.06969,0.0,13.35,1,0.691,6.892,96.1,1.0,1,242.0,17.8,21.23,9.21,37.5
3.68129,0.0,17.37,0,0.771,6.464,62.7,1.0,7,432.0,18.7,177.26,28.37,29.2
3.91699,80.0,5.09,0,0.574,6.416,57.0,1.0,6,222.0,17.8,220.02,33.13,27.5
4.42564,0.0,27.76,0,0.828,6.876,43.3,4.1391,24,403.0,13.0,118.48,20.61,30.9
0.23079,0.0,6.87,0,0.641,6.184,44.6,2.0127,7,403.0,19.2,180.79,25.98,29.9
1.33168,0.0,26.43,0,0.457,6.553,55.4,1.9564,7,270.0,15.2,65.18,31.27,28.0
0.36945,0.0,18.37,0,0.721,6.208,70.5,8.2051,2,200.0,20.2,120.93,11.18,37.8
5.96559,0.0,17.21,0,0.769,6.466,71.1,8.5848,24,200.0,19.2,246.64,12.49,38.7
2.9289,0.0,14.6,0,0.535,5.872,19.6,9.1155,24,222.0,19.2,120.01,1.75,44.5
1.20546,0.0,6.84,0,0.8,4.573,51.5,1.4315,6,432.0,21.0,357.14,36.63,24.3
0.197,0.0,5.35,0,0.824,6.186,42.9,4.4635,3,222.0,12.6,249.53,34.98,29.7
1.11747,0.0,6.56,0,0.516,7.276,87.4,1.2044,1,222.0,18.7,174.28,29.44,33.2
1.17994,0.0,5.63,0,0.862,6.928,64.2,1.0,4,330.0,18.7,15.69,4.6,35.4
3.92363,0.0,21.94,0,0.449,6.956,54.6,1.0,3,384.0,18.7,198.43,17.95,32.1
3.04467,0.0,10.13,0,0.479,7.145,14.1,1.5911,1,384.0,18.7,303.61,5.42,43.5
6.54676,25.0,2.09,0,0.47,6.342,61.7,2.1358,3,432.0,19.2,105.63,2.31,42.4
1.9172,0.0,27.15,0,0.818,6.418,14.3,6.7547,4,330.0,18.7,320.27,24.06,35.1
0.38212,0.0,24.8,0,0.701,5.848,35.6,1.0,8,403.0,12.6,100.18,36.55,26.4
3.74738,0.0,26.01,0,0.455,6.059,16.8,5.0454,24,711.0,14.7,327.0,34.45,21.2
4.29118,0.0,27.86,0,0.596,6.711,70.1,2.8809,3,330.0,13.0,34.14,26.98,28.3
2.47166,0.0,5.28,0,0.681,7.123,22.9,1.2905,6,222.0,18.7,343.83,5.23,38.8
4.42167,0.0,11.4,0,0.421,6.182,40.9,2.5798,5,200.0,20.2,198.29,11.67,38.3
2.04244,0.0,21.35,0,0.812,5.965,89.9,1.3551,6,307.0,14.7,117.92,13.33,34.9
2.21904,0.0,19.64,0,0.774,6.28,22.7,3.4449,4,432.0,20.2,105.46,29.39,35.2
1.67344,0.0,4.73,0,0.628,6.701,52.2,2.1618,6,403.0,20.2,171.65,30.8,35.0
0.07724,0.0,22.94,1,0.854,5.269,43.6,1.0,7,270.0,17.8,396.52,15.69,39.3
0.3425,0.0,6.67,0,0.585,4.673,4.7,1.0,24,307.0,20.2,87.7,16.87,29.7
0.0958,0.0,6.65,0,0.862,5.895,79.9,3.0065,7,307.0,18.7,41.25,3.34,41.9
3.03519,0.0,15.27,0,0.707,5.426,9.6,8.8426,6,330.0,17.8,232.33,12.21,33.6
1.13219,0.0,16.81,0,0.691,5.924,49.0,1.6018,1,242.0,21.0,194.07,18.08,35.3
2.13131,0.0,16.45,0,0.461,6.177,57.3,5.0179,2,307.0,19.2,208.21,5.97,36.9
7.1438,0.0,3.02,0,0.812,5.963,63.9,4.0845,1,222.0,20.2,264.81,18.16,36.2
0.86022,12.5,24.63,1,0.589,7.297,69.8,10.1905,24,666.0,12.6,106.26,32.65,28.9
1.58485,0.0,7.8,0,0.459,6.509,27.5,6.537,24,200.0,13.0,361.47,22.8,27.6
4.22625,0.0,4.06,0,0.386,6.49,3.9,3.1772,7,711.0,20.2,173.1,4.59,46.0
0.77942,25.0,24.94,0,0.654,6.716,73.1,4.0664,2,200.0,21.0,51.51,8.68,41.1
0.24031,80.0,26.78,0,0.638,5.483,54.9,8.689,6,666.0,15.2,294.7,18.93,30.1
1.02642,0.0,24.21,0,0.732,7.007,84.1,1.9381,4,384.0,21.0,255.36,14.83,37.3
0.52743,0.0,22.76,0,0.816,6.227,82.7,1.5037,1,222.0,15.2,125.54,14.73,34.7
7.96485,25.0,18.52,0,0.419,6.749,84.8,1.0,1,270.0,21.0,246.8,20.91,32.8
4.95266,12.5,15.65,0,0.738,5.53,50.0,6.6571,5,307.0,19.2,87.51,22.91,32.8
3.01048,0.0,2.89,0,0.472,5.192,35.3,6.1345,2,384.0,13.0,176.73,30.61,29.2
6.15456,0.0,11.73,0,0.801,6.853,79.8,1.0,4,222.0,21.0,357.01,14.09,37.0
4.88391,0.0,10.75,0,0.781,6.543,46.7,3.2682,1,330.0,15.2,53.28,30.92,29.3
0.61949,0.0,7.64,0,0.645,5.649,20.7,2.3696,4,200.0,20.2,153.68,14.0,38.7
6.69244,0.0,20.39,0,0.728,5.671,85.9,1.0,6,384.0,19.2,325.97,3.74,32.1
2.3253,0.0,14.14,0,0.534,7.068,88.6,13.0,4,432.0,19.2,384.8,21.81,32.5
4.94204,0.0,2.73,1,0.611,5.447,48.2,1.0,1,307.0,20.2,180.34,23.04,27.3
6.79273,12.5,6.56,0,0.783,7.43,10.3,1.0,7,307.0,12.6,201.39,35.6,31.6
1.14819,0.0,19.29,0,0.605,5.65,40.6,3.4333,2,270.0,17.8,227.23,28.04,27.5
0.34978,0.0,2.59,0,0.555,6.727,80.9,5.1024,24,242.0,13.0,370.07,34.99,25.5
0.77606,12.5,23.91,0,0.622,6.05,90.5,1.0,3,432.0,13.0,340.67,34.65,29.7
1.67117,25.0,14.12,0,0.786,6.702,22.7,4.0852,8,307.0,12.6,67.98,23.64,30.7
5.11149,0.0,13.72,0,0.544,5.899,9.4,2.8877,8,403.0,17.8,173.53,20.86,30.9
5.91403,0.0,16.79,0,0.465,6.166,88.1,1.0,3,432.0,13.0,184.33,21.93,38.9
0.02093,0.0,23.18,0,0.729,6.309,40.7,1.0,4,307.0,15.2,313.26,37.18,30.1
2.14463,0.0,10.06,0,0.785,5.578,55.5,3.1892,2,666.0,14.7,239.42,29.75,28.0
1.62082,0.0,19.15,0,0.429,6.799,96.9,1.3356,4,432.0,14.7,259.77,5.58,40.5
0.7535,0.0,16.06,0,0.498,5.921,9.4,10.5858,24,222.0,13.0,396.19,29.94,32.4
0.38304,0.0,7.84,0,0.45,6.12,65.9,6.4897,2,432.0,18.7,30.05,7.91,40.9
1.23573,0.0,24.66,0,0.55,5.584,10.1,13.0,3,711.0,13.0,88.76,17.94,33.8
8.58936,0.0,22.43,0,0.601,4.486,39.4,1.1425,4,270.0,20.2,162.08,9.36,33.0
1.17115,0.0,18.61,0,0.747,6.146,81.0,13.0,5,330.0,20.2,138.24,26.72,26.8
2.19436,0.0,23.89,0,0.699,7.969,45.0,2.1443,1,330.0,17.8,8.9,33.52,26.8
3.64226,0.0,24.35,1,0.684,6.829,99.7,1.6225,7,330.0,19.2,36.72,12.25,37.1
1.35592,0.0,19.98,0,0.553,6.267,57.2,1.0,7,222.0,15.2,270.37,4.7,38.3
10.70339,25.0,23.52,0,0.792,6.096,34.1,1.0,24,384.0,12.6,349.04,12.55,35.7
9.84603,0.0,19.68,0,0.611,6.296,24.3,4.4752,4,330.0,13.0,204.25,26.1,29.8
0.87018,0.0,19.2,0,0.86,6.663,36.9,2.327,6,711.0,15.2,214.15,13.64,35.3
2.06298,12.5,17.51,0,0.691,5.453,39.1,1.0,2,200.0,12.6,101.48,11.81,36.1
1.07379,0.0,21.2,0,0.442,7.06,9.6,3.617,4,222.0,20.2,304.84,8.41,39.2
1.00575,0.0,4.86,0,0.711,6.781,38.8,1.1077,2,384.0,21.0,298.47,19.76,41.6
0.11275,0.0,24.72,0,0.539,6.783,48.0,3.2751,5,200.0,15.2,233.65,11.73,40.0
2.82148,0.0,24.48,1,0.716,6.587,73.1,1.6912,7,200.0,14.7,84.66,28.22,26.4
2.09556,12.5,1.3,0,0.414,6.294,66.7,6.592,1,200.0,13.0,38.8,4.51,45.6
0.15855,0.0,23.21,0,0.466,6.751,71.7,6.531,7,403.0,17.8,25.8,25.79,31.2
0.97988,0.0,4.04,1,0.799,6.694,3.7,2.4656,6,270.0,14.7,235.37,10.34,36.0
7.16658,0.0,9.72,0,0.491,6.032,24.0,1.6418,6,270.0,19.2,327.51,19.46,38.6
0.82158,0.0,20.95,0,0.79,5.878,67.1,1.7111,8,222.0,18.7,340.72,12.1,37.7
0.46959,0.0,4.92,0,0.517,6.351,49.9,6.226,8,711.0,12.6,184.18,27.92,33.5
2.01682,0.0,22.99,0,0.695,7.364,3.4,1.5115,6,711.0,20.2,311.35,35.99,31.9
12.73211,0.0,23.38,0,0.72,5.413,81.0,1.0,3,711.0,13.0,375.83,34.96,22.4
0.83143,80.0,14.46,0,0.631,5.253,77.9,1.0,5,200.0,17.8,109.45,22.87,29.4
3.34547,0.0,0.68,0,0.53,6.395,56.2,2.3889,2,666.0,21.0,158.14,18.49,33.2
4.30166,0.0,8.39,0,0.484,6.316,9.4,2.5005,5,432.0,20.2,369.73,31.39,33.6
0.814,0.0,17.47,0,0.396,6.401,77.3,6.9855,24,384.0,13.0,134.46,26.49,32.6
3.90825,0.0,27.48,0,0.529,6.451,59.6,1.0,1,270.0,21.0,362.75,8.38,42.3
1.37557,0.0,17.87,0,0.7,6.124,78.8,1.8226,5,330.0,17.8,389.38,31.48,29.0
3.00151,0.0,7.64,0,0.84,7.323,75.9,6.279,6,222.0,18.7,262.78,17.27,34.6
3.01151,0.0,17.94,0,0.807,5.159,80.9,6.5935,7,384.0,14.7,324.28,8.58,31.7
2.30216,0.0,15.35,1,0.755,5.7,53.2,1.8449,24,222.0,14.7,297.57,11.94,37.9
0.28389,0.0,21.95,0,0.766,6.208,16.5,2.3353,6,666.0,20.2,277.74,11.43,42.8
5.41093,25.0,3.44,0,0.706,5.13,68.1,1.3732,5,403.0,13.0,122.04,20.55,27.8
1.16043,0.0,21.43,0,0.508,6.157,63.1,10.2465,7,403.0,13.0,22.96,10.22,39.4
0.6193,0.0,15.38,0,0.825,7.443,75.0,1.0,1,200.0,17.8,136.37,6.21,38.1
0.12489,0.0,26.98,0,0.709,6.295,19.4,10.3144,5,403.0,18.7,264.81,6.21,38.4
2.68134,80.0,9.9,0,0.655,6.441,21.8,4.376,2,222.0,13.0,40.98,22.87,33.7
3.39556,0.0,17.9,0,0.434,5.398,89.4,2.8818,4,330.0,17.8,5.05,28.36,23.2
0.05018,0.0,26.13,0,0.599,5.849,75.7,1.0,7,200.0,19.2,55.72,13.38,36.3
2.15289,80.0,3.32,0,0.606,6.017,91.1,2.4529,5,307.0,20.2,284.17,2.99,37.7
0.77047,25.0,26.27,0,0.804,6.058,76.6,1.9905,6,711.0,19.2,386.11,6.34,41.2
3.10837,25.0,19.42,0,0.648,7.177,60.9,1.0,2,384.0,20.2,390.18,34.88,29.0
0.57481,0.0,2.37,0,0.566,6.67,66.4,4.0596,3,666.0,21.0,196.22,19.62,38.1
3.52264,0.0,8.78,0,0.859,5.502,89.2,13.0,7,200.0,17.8,345.09,18.17,31.8
1.46688,0.0,19.97,0,0.434,6.453,59.1,3.1387,2,222.0,17.8,292.53,3.11,37.1
8.28103,80.0,2.35,0,0.587,6.629,64.3,4.7667,6,384.0,15.2,199.02,28.14,25.1
0.44383,0.0,16.51,0,0.401,7.078,18.1,1.0,5,330.0,21.0,227.47,20.87,29.9
1.2514,0.0,10.01,1,0.743,7.386,48.9,2.0547,1,242.0,17.8,54.74,9.05,42.7
0.36133,0.0,17.58,0,0.83,5.569,72.5,1.0,4,666.0,13.0,372.18,5.72,46.4
7.75857,12.5,1.76,1,0.517,5.712,29.2,3.6055,2,222.0,20.2,139.89,15.62,34.2
6.295,0.0,24.47,0,0.801,5.4,22.5,10.596,4,666.0,19.2,177.25,32.07,31.1
0.89498,0.0,27.27,0,0.523,6.116,33.4,4.1194,1,270.0,20.2,266.69,33.09,32.1
3.23629,0.0,27.14,0,0.826,6.606,26.3,1.0,2,242.0,14.7,132.74,23.58,31.3
5.09845,0.0,21.12,0,0.749,6.971,23.8,1.6644,8,384.0,15.2,101.15,28.1,35.0
2.4304,0.0,4.08,0,0.774,6.227,44.2,3.0399,6,403.0,17.8,250.58,5.9,37.9
2.26284,0.0,21.35,0,0.389,6.056,91.1,1.9615,2,222.0,18.7,10.23,23.04,30.8
0.83063,0.0,1.18,0,0.852,6.386,52.1,6.8158,6,666.0,12.6,286.15,25.9,31.5
0.29318,0.0,1.11,0,0.736,5.695,21.1,6.4054,24,384.0,15.2,204.17,9.0,37.2
6.82537,0.0,9.4,0,0.529,7.743,10.4,3.596,7,403.0,17.8,240.55,33.63,32.0
6.92032,0.0,13.94,0,0.786,5.155,70.5,1.7766,24,330.0,19.2,250.91,8.8,32.7
3.00801,0.0,21.69,0,0.518,6.409,40.1,1.1203,5,330.0,17.8,209.34,13.09,39.3
1.24214,0.0,19.29,0,0.808,7.697,82.7,1.0,7,666.0,12.6,231.34,24.22,38.0
1.2887,0.0,12.76,0,0.435,6.285,66.9,1.6657,7,200.0,19.2,271.5,24.86,33.3
3.8834,0.0,8.02,0,0.725,6.147,80.2,2.0255,3,270.0,20.2,298.99,27.08,36.1
6.82229,0.0,27.92,1,0.645,6.03,29.3,4.2806,7,200.0,19.2,288.81,5.79,41.6
6.5434,0.0,12.22,0,0.427,6.154,70.1,4.079,1,270.0,15.2,345.19,32.51,30.6
4.54069,80.0,12.91,0,0.499,7.241,28.5,1.0,24,222.0,20.2,75.45,21.04,34.9
3.08193,0.0,5.0,1,0.386,4.732,94.1,1.9112,6,711.0,17.8,159.41,18.81,32.1
0.26368,25.0,22.36,0,0.61,7.353,64.7,1.0,5,307.0,21.0,376.2,37.28,31.3
0.52888,0.0,19.58,0,0.528,5.283,34.4,1.0,7,666.0,17.8,157.6,28.56,29.0
6.86469,0.0,6.57,0,0.673,6.093,29.1,6.6736,5,432.0,12.6,49.84,6.01,36.6
2.79748,12.5,2.77,0,0.526,5.98,21.4,1.0,5,711.0,21.0,208.7,29.15,22.2
0.02772,0.0,19.21,0,0.527,6.692,70.3,2.0646,7,666.0,17.8,43.74,5.18,43.5
0.32099,0.0,18.5,0,0.744,5.161,24.1,1.0,7,242.0,18.7,80.77,2.73,42.3
3.26749,0.0,8.01,0,0.404,6.604,60.7,8.0359,3,403.0,15.2,396.23,16.36,32.2
0.01522,0.0,26.65,0,0.822,7.697,28.6,3.0943,3,242.0,18.7,215.01,37.74,32.1
0.52595,80.0,4.65,1,0.798,5.326,67.2,1.0,3,330.0,20.2,112.97,8.07,35.5
2.38709,25.0,12.39,0,0.707,6.413,82.0,2.6525,6,270.0,14.7,394.83,26.11,30.6
3.53195,80.0,26.45,0,0.671,5.817,78.4,4.9964,6,403.0,17.8,383.64,8.01,41.3
3.16632,0.0,12.04,0,0.817,6.578,76.8,12.057,3,711.0,13.0,175.11,28.0,28.0
0.76185,12.5,18.06,0,0.471,6.293,21.1,1.0,3,330.0,13.0,103.59,20.04,31.4
3.73625,80.0,11.43,0,0.419,5.831,11.5,8.258,8,403.0,19.2,332.81,26.37,35.4
0.81247,0.0,8.04,0,0.497,6.622,70.8,10.3463,8,200.0,18.7,284.12,9.08,38.9
1.1809,0.0,27.56,0,0.769,7.543,38.7,9.4314,7,330.0,15.2,272.75,28.75,37.0
4.11707,12.5,11.76,0,0.397,6.146,44.9,3.8342,4,200.0,17.8,354.51,37.81,21.1
3.14632,0.0,25.09,0,0.666,6.784,5.9,3.7763,4,200.0,12.6,273.73,25.85,27.7
5.67587,25.0,6.82,0,0.868,5.375,28.1,1.9615,3,403.0,19.2,112.87,19.61,28.5
3.21544,0.0,6.36,0,0.799,5.61,6.2,5.3045,5,384.0,20.2,275.49,35.19,24.7
2.52013,12.5,1.36,0,0.636,6.611,88.3,2.8796,3,242.0,21.0,121.6,2.3,37.3
0.29507,0.0,18.42,0,0.411,7.319,26.5,4.2995,8,330.0,20.2,301.42,28.18,34.4
1.37525,0.0,10.63,0,0.787,6.529,57.0,2.1258,7,432.0,17.8,246.1,33.94,30.4
0.92448,0.0,24.27,0,0.673,6.061,6.7,4.9966,3,384.0,14.7,31.02,3.97,37.6
0.8391,25.0,13.51,0,0.436,6.28,67.7,6.6118,24,242.0,21.0,203.7,18.04,32.6
10.83693,0.0,27.13,0,0.426,5.405,34.3,1.0,5,330.0,18.7,136.47,9.15,31.8
1.49816,0.0,5.6,0,0.826,6.703,90.1,6.7995,24,711.0,17.8,130.62,22.26,30.6
6.67817,0.0,24.39,0,0.708,6.898,89.1,2.9533,7,270.0,14.7,239.16,25.27,23.0
2.992,25.0,21.86,0,0.786,5.964,34.5,7.0763,7,242.0,18.7,128.15,12.7,35.7
4.75148,0.0,21.7,0,0.811,5.951,90.4,2.1447,6,432.0,14.7,308.42,18.4,31.8
2.09531,25.0,23.73,0,0.66,6.466,99.6,1.8107,2,666.0,18.7,28.39,11.85,36.6
2.58047,0.0,21.43,0,0.634,5.974,83.0,9.3701,24,222.0,15.2,262.22,15.12,32.1
2.03488,0.0,17.72,0,0.591,6.234,84.9,1.0991,6,200.0,13.0,321.23,7.51,41.3
0.65164,0.0,4.11,0,0.535,7.75,27.1,7.0652,8,222.0,20.2,267.15,33.82,39.1
3.84529,0.0,1.39,0,0.593,6.107,58.9,2.5144,1,384.0,15.2,197.51,2.09,37.7
0.98873,12.5,25.82,1,0.759,6.029,9.4,2.7426,5,666.0,21.0,377.19,33.71,32.5
0.07385,0.0,17.46,0,0.675,5.827,12.1,1.4016,1,200.0,19.2,119.27,22.45,33.8
3.11091,0.0,22.4,1,0.817,6.801,99.9,3.2341,8,330.0,13.0,7.92,13.75,37.3
0.5848,25.0,13.74,0,0.597,6.153,34.6,1.4948,8,384.0,15.2,171.64,27.93,29.9
8.46325,0.0,3.73,0,0.677,5.825,75.5,1.0,1,432.0,17.8,13.41,20.13,30.8
9.23269,0.0,3.94,0,0.689,7.205,81.2,1.2063,24,403.0,14.7,378.63,19.82,37.2
7.39053,80.0,19.35,0,0.67,7.274,86.2,1.0,2,330.0,21.0,83.57,5.72,36.6
1.38686,0.0,12.33,0,0.724,5.86,99.8,13.0,24,242.0,17.8,313.19,15.85,34.1
0.04673,0.0,6.01,0,0.496,4.973,26.3,12.8212,1,403.0,13.0,307.5,10.47,39.5
7.90657,80.0,14.02,0,0.631,6.985,6.8,1.9106,24,384.0,14.7,86.67,2.3,43.6
1.67681,0.0,2.27,0,0.431,5.801,42.8,4.9526,4,242.0,21.0,246.69,14.78,31.8
10.20253,0.0,16.5,0,0.568,6.833,15.5,1.6125,24,432.0,19.2,19.39,4.99,38.1
9.94121,0.0,7.9,0,0.619,4.901,5.1,4.2255,7,222.0,13.0,192.1,11.04,34.6
5.75216,12.5,22.43,0,0.7,6.905,37.9,6.2205,6,242.0,21.0,6.13,5.08,42.0
1.04633,0.0,9.03,0,0.846,5.432,79.0,11.1449,5,222.0,15.2,365.63,5.39,41.3
1.45888,0.0,13.02,0,0.674,6.792,57.9,1.9425,24,200.0,21.0,387.42,8.94,40.7
5.71418,25.0,0.82,0,0.744,6.29,33.3,5.8111,2,270.0,13.0,88.47,37.96,27.3
1.14344,12.5,2.49,0,0.628,5.612,66.4,1.1748,2,307.0,15.2,82.85,1.81,41.2
0.55716,0.0,11.29,0,0.691,5.995,25.4,13.0,24,330.0,17.8,299.23,24.88,36.6
2.44121,0.0,13.7,1,0.415,6.76,4.3,1.0,3,307.0,13.0,100.81,6.85,38.8
8.25388,0.0,17.0,0,0.505,6.354,77.1,3.5156,8,200.0,12.6,355.29,35.09,26.3
3.57248,12.5,8.52,0,0.557,6.689,63.5,4.094,24,242.0,19.2,227.93,5.12,37.2
